Location ID,Field Sample ID,Start Depth,End Depth,Parameter Name,Report Result,Report Units,Lab Qualifier,Validation Qualifier,Leached,Detected,Ground Elevation,Date Sampled,Sample Matrix,Filtered,Sample Purpose,Location Group Name
S0776,S0776A3,1,1.5,Benzo(a)Pyrene,0.376,mg/kg,U,,N,N,7.2,7/16/2002,SOIL,N,REG,Example Area
S0776,S0776A3,1,1.5,Benzene,0.169,mg/kg,,,N,Y,7.2,7/16/2002,SOIL,N,REG,Example Area
S0776,S0776A3,1,1.5,Lead,9.35,mg/kg,,,N,Y,7.2,7/16/2002,SOIL,N,REG,Example Area
S0776,S0776A3,1,1.5,Total Organic Lead,0.66,mg/kg,J,J,N,Y,7.2,7/16/2002,SOIL,N,REG,Example Area
S0776,S0776C4,5.5,6,Benzo(a)Pyrene,0.383,mg/kg,U,,N,N,7.2,7/16/2002,SOIL,N,REG,Example Area
S0776,S0776C4,5.5,6,Benzene,0.128,mg/kg,U,,N,N,7.2,7/16/2002,SOIL,N,REG,Example Area
S0776,S0776C4,5.5,6,Lead,8.94,mg/kg,,,N,Y,7.2,7/16/2002,SOIL,N,REG,Example Area
S0776,S0776C4,5.5,6,Total Organic Lead,0.75,mg/kg,J,J,N,Y,7.2,7/16/2002,SOIL,N,REG,Example Area
S0776,S0776D4,7.5,8,Benzo(a)Pyrene,3.24,mg/kg,U,,N,N,7.2,7/16/2002,SOIL,N,REG,Example Area
S0776,S0776D4,7.5,8,Benzene,1.19,mg/kg,U,,N,N,7.2,7/16/2002,SOIL,N,REG,Example Area
S0776,S0776D4,7.5,8,Lead,16.7,mg/kg,,,N,Y,7.2,7/16/2002,SOIL,N,REG,Example Area
S0776,S0776D4,7.5,8,Total Organic Lead,7.1,mg/kg,J,J,N,Y,7.2,7/16/2002,SOIL,N,REG,Example Area
S0791,S0791A3T,1,1.5,Benzo(a)Pyrene,0.0774,mg/kg,,,N,Y,7,8/2/2002,SOIL,N,REG,Example Area
S0791,S0791A3T,1,1.5,Benzene,0.267,mg/kg,,,N,Y,7,8/2/2002,SOIL,N,REG,Example Area
S0791,S0791A3T,1,1.5,Lead,93.8,mg/kg,,,N,Y,7,8/2/2002,SOIL,N,REG,Example Area
S0791,S0791A3T,1,1.5,Arsenic,10,mg/kg,,,N,Y,7,8/2/2002,SOIL,N,REG,Example Area
S0791,S0791A3T,1,1.5,Total Organic Lead,0.84,mg/kg,J,J,N,Y,7,8/2/2002,SOIL,N,REG,Example Area
S0791,S0791B3L,3,3.5,Benzo(a)Pyrene,0.396,mg/kg,U,,N,N,7,8/2/2002,SOIL,N,REG,Example Area
S0791,S0791B3L,3,3.5,Lead,17.5,mg/kg,,,N,Y,7,8/2/2002,SOIL,N,REG,Example Area
S0791,S0791B3L,3,3.5,Arsenic,5.5,mg/kg,,,N,Y,7,8/2/2002,SOIL,N,REG,Example Area
S0791,S0791B3L,3,3.5,Total Organic Lead,0.55,mg/kg,J,J,N,Y,7,8/2/2002,SOIL,N,REG,Example Area
S0791,S0791B3T,3,3.5,Benzene,0.31,mg/kg,U,,N,N,7,8/2/2002,SOIL,N,REG,Example Area
S0791,S0791F4T,11.5,12,Benzo(a)Pyrene,0.382,mg/kg,U,,N,N,7,8/2/2002,SOIL,N,REG,Example Area
S0791,S0791F4T,11.5,12,Benzene,0.203,mg/kg,,,N,Y,7,8/2/2002,SOIL,N,REG,Example Area
S0791,S0791F4T,11.5,12,Lead,3.23,mg/kg,,,N,Y,7,8/2/2002,SOIL,N,REG,Example Area
S0791,S0791F4T,11.5,12,Arsenic,1.15,mg/kg,U,,N,N,7,8/2/2002,SOIL,N,REG,Example Area
S0791,S0791F4T,11.5,12,Total Organic Lead,0.65,mg/kg,J,J,N,Y,7,8/2/2002,SOIL,N,REG,Example Area
S0792,S0792A3L,1,1.5,Benzo(a)Pyrene,4.58,mg/kg,U,,N,N,5.8,8/1/2002,SOIL,N,REG,Example Area
S0792,S0792A3L,1,1.5,Lead,79.6,mg/kg,,,N,Y,5.8,8/1/2002,SOIL,N,REG,Example Area
S0792,S0792A3L,1,1.5,Arsenic,3.31,mg/kg,,,N,Y,5.8,8/1/2002,SOIL,N,REG,Example Area
S0792,S0792A3L,1,1.5,Total Organic Lead,0.54,mg/kg,J,J,N,Y,5.8,8/1/2002,SOIL,N,REG,Example Area
S0792,S0792A4,1.5,2,Benzene,5.88,mg/kg,,,N,Y,5.8,8/1/2002,SOIL,N,REG,Example Area
S0792,S0792C2,4.5,5,Benzo(a)Pyrene,0.428,mg/kg,U,,N,N,5.8,8/1/2002,SOIL,N,REG,Example Area
S0792,S0792C2,4.5,5,Benzene,0.243,mg/kg,,,N,Y,5.8,8/1/2002,SOIL,N,REG,Example Area
S0792,S0792C2,4.5,5,Lead,67.7,mg/kg,,,N,Y,5.8,8/1/2002,SOIL,N,REG,Example Area
S0792,S0792C2,4.5,5,Arsenic,43.7,mg/kg,,,N,Y,5.8,8/1/2002,SOIL,N,REG,Example Area
