,S0776,S0791,S0792,S0793,S0794,S1006,S1008,S2140,S2143,S2144,S2145,S2180,S2202,S2203,S2204,S2205,S2210,S2212,S2221,S2222,S2223,S2436,S2438,S2439,S2440,S2441,S2445,S2449,S2450,S2552,S2553,S2554,S2555,S2557,S2603,S2604,S2605,S2729,S2827,S2828,S3971,S3973,S3977,S3978,S3979,S4519,S4520,S4534,SB-0040
13.0 to 12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.5 to 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0 to 11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5 to 11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0 to 10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.5 to 10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0 to 9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.5 to 9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0 to 8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.5 to 8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0 to 7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5 to 7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002 J,,0.003 J,0.003 J,,0.037 UJ,,,,
7.0 to 6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002 J,,0.003 J,0.003 J,0.005 J,0.037 UJ,,,,
