,S0791,S0792,S0793,S1007,S1008,S2144,S2145,S2603,S2604,S2605,S2729,S2827,S2828,S2905,S4253,S4254,S4255,S4408,S4409,S4410,S4411,S4412,S4414,S4455,S4502,S4503,S4504,S4505,S4506,S4519,S4520,SB-0040
13.0 to 12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.5 to 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0 to 11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5 to 11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9 ,,,
11.0 to 10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9 ,,,
10.5 to 10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0 to 9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.5 to 9.0,,,,,,,,,,,,,,,,19.6 J,9.14 ,,,,,,,,,,,,,,,
9.0 to 8.5,,,,,,,,,,,,,,,,19.6 J,9.14 ,,,,,,,,,,,,,,,
8.5 to 8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0 to 7.5,,,,,,,,,,,,,,,,,,5.39 ,14.3 ,,17.3 ,,,,,,,,,,,
7.5 to 7.0,,,,,,,,,,,,,14.6 ,,,,,5.39 ,14.3 ,,17.3 ,,,,,,,,,,,
7.0 to 6.5,,,,,,,,,,,,,14.6 ,,50.6 ,,,,,93.4 ,,,,,,,,,,,,
6.5 to 6.0,,,,,,,,,,,,,,,50.6 ,,,,,93.4 ,,,,,,,,,,,,
6.0 to 5.5,10 ,,,,,,,,,,,9.59 J,,,,,,,,,,,,,,,,,,,3.31 ,
5.5 to 5.0,10 ,,,,,,,11.1 ,4.55 ,,,9.59 J,2.74 ,,,,,,,,,,78.8 ,2.42 J,,,31.9 ,,,35.9 ,3.31 ,
5.0 to 4.5,,3.31 ,,,,,,11.1 ,4.55 ,,,40.1 ,2.74 ,,,,,,,,,,78.8 ,2.42 J,,,31.9 ,77.6 ,,35.9 ,,
4.5 to 4.0,,3.31 ,11.3 ,10.8 ,3.2 ,,,,,,,40.1 ,,8.93 ,,,,,,,,,,,108 ,,,77.6 ,,,,
4.0 to 3.5,5.5 ,,11.3 ,10.8 ,3.2 ,,,,,,,,,8.93 ,,,,,,,,4.54 J,,,108 ,,,,,,3.05 ,7.6 
3.5 to 3.0,5.5 ,,,,,,,,,,,,,,,,,,,,,4.54 J,,,,,,,,,3.05 ,7.6 
3.0 to 2.5,,,,,4.8 ,8.83 ,,,9.04 ,,,,,,,,,,,,,,,,,23.6 ,,,,,,7.6 
2.5 to 2.0,,,,6 ,4.8 ,8.83 ,,8.23 ,9.04 ,,18.8 ,,,,,,,,,,,3.22 J,,,,23.6 ,,,,,,7.6 
2.0 to 1.5,,,11.1 ,6 ,,,,8.23 ,,,18.8 ,3.64 ,,,,,,,,,,3.22 J,,,,,,,,,,7.6 
1.5 to 1.0,,43.7 ,11.1 ,,,,30.3 ,,,,16.3 ,3.64 ,,,,,,,,,,,,,,,,,,,,
1.0 to 0.5,,43.7 ,,,,,30.3 ,,,3.07 ,16.3 ,,,,,,,,,,,,,,,,,,,,,
0.5 to 0.0,,,,,,,,,,3.07 ,,,,,,,,,,,,,,,,,,,,,,
0.0 to -0.5,,,,,,8.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.5 to -1.0,,,,,,8.8 ,,,,,,,3.01 ,,,,,,,,,,,,,,,,,,,
-1.0 to -1.5,,,,,,,,,,,,,3.01 ,,,,,,,,,,,,,,,,,,,
-1.5 to -2.0,,,,,,,,,,,32.9 ,,,,,,,,,,,,,,,,,,,,,
-2.0 to -2.5,,,,,,,,,,,32.9 ,,,,,,,,,,,,,,,,,,,,,
-2.5 to -3.0,,,,,,,,,,1.84 J,,,,,,,,,,,,,,,,,,,,,,
-3.0 to -3.5,,,,,,,,,,1.84 J,,,,,,,,,,,,,,,,,,,,,,
-3.5 to -4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.0 to -4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.5 to -5.0,1.15 U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.0 to -5.5,1.15 U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.5 to -6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.0 to -6.5,,,3.47 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.5 to -7.0,,,3.47 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.0 to -7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.5 to -8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.0 to -8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.5 to -9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9.0 to -9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9.5 to -10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10.0 to -10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
