,S2221,S2222,S2223,S4253,S4254,S4255
13.0 to 12.5,,,,,,
12.5 to 12.0,,,,,,
12.0 to 11.5,,,,,,
11.5 to 11.0,,,,,,
11.0 to 10.5,,,,,,
10.5 to 10.0,,,,,,
10.0 to 9.5,,,,,,
9.5 to 9.0,,,,,53.9 ,17.7 
9.0 to 8.5,,,,,53.9 ,17.7 
8.5 to 8.0,,,,,,
8.0 to 7.5,,,,,,
7.5 to 7.0,,,,,,
7.0 to 6.5,,,,56.7 ,,
6.5 to 6.0,,,,56.7 ,,
6.0 to 5.5,,,,,,
5.5 to 5.0,,,,,,
5.0 to 4.5,,,,,,
4.5 to 4.0,,,,,,
4.0 to 3.5,,,,,,
3.5 to 3.0,,,,,,
3.0 to 2.5,,,,,,
2.5 to 2.0,10 U,,,,,
2.0 to 1.5,10 U,25.3 ,,,,
1.5 to 1.0,,25.3 ,,,,
1.0 to 0.5,,,,,,
0.5 to 0.0,,,,,,
0.0 to -0.5,,,,,,
-0.5 to -1.0,,,,,,
-1.0 to -1.5,,,,,,
-1.5 to -2.0,,,,,,
-2.0 to -2.5,14.9 J,,10 U,,,
-2.5 to -3.0,14.9 J,,10 U,,,
-3.0 to -3.5,,,,,,
-3.5 to -4.0,,10 U,,,,
-4.0 to -4.5,,10 U,,,,
-4.5 to -5.0,,,,,,
-5.0 to -5.5,,,,,,
-5.5 to -6.0,,,,,,
-6.0 to -6.5,,,,,,
-6.5 to -7.0,,,,,,
-7.0 to -7.5,,,,,,
-7.5 to -8.0,,,,,,
-8.0 to -8.5,,,,,,
-8.5 to -9.0,,,,,,
-9.0 to -9.5,,,,,,
-9.5 to -10.0,,,,,,
-10.0 to -10.5,,,,,,
,,,,,,
