,S2140,S2143,S2180,S2202,S2203,S2204,S2210,S2212,S2221,S2222,S2223
13.0 to 12.5,,,,,,,,,,,
12.5 to 12.0,,,,,,,,,,,
12.0 to 11.5,,,,,,,,,,,
11.5 to 11.0,,,,,,,,,,,
11.0 to 10.5,,,,,,,,,,,
10.5 to 10.0,,,,,,,,,,,
10.0 to 9.5,,,,,,,,,,,
9.5 to 9.0,,,,,,,,,,,
9.0 to 8.5,,,,,,,,,,,
8.5 to 8.0,,,,,,,,,,,
8.0 to 7.5,,,,,,,,,,,
7.5 to 7.0,,,,,,,,,,,
7.0 to 6.5,,,,,,,,,,,
6.5 to 6.0,,,,,,,,,,,
6.0 to 5.5,,,,,,,,,,,
5.5 to 5.0,,,,,,,11 J,,,,
5.0 to 4.5,,,,10 U,,10 U,11 J,,,,
4.5 to 4.0,,,,10 U,,10 U,,,,,
4.0 to 3.5,,15 J,,,,,,,,,
3.5 to 3.0,,15 J,,,,,,,,,
3.0 to 2.5,,,10 U,,10 U,,,,,,
2.5 to 2.0,,,10 U,,10 U,,,,10 U,,
2.0 to 1.5,,,,,,,,,10 U,10 U,
1.5 to 1.0,,,,,,,,,,10 U,
1.0 to 0.5,,,,,,,,,,,
0.5 to 0.0,160 ,,,,,,,,,,
0.0 to -0.5,160 ,,,,,,,,,,
-0.5 to -1.0,,36 J,,,,,,26 J,,,
-1.0 to -1.5,,36 J,,,,,,26 J,,,
-1.5 to -2.0,,,,,,,,,,,
-2.0 to -2.5,,,,,,,,,10 U,,10 U
-2.5 to -3.0,,,,,,,,,10 U,,10 U
-3.0 to -3.5,,,,,,,,,,,
-3.5 to -4.0,,,,,,,,,,11 J,
-4.0 to -4.5,,,,,,,,,,11 J,
-4.5 to -5.0,,,,,,,,,,,
-5.0 to -5.5,,,,,,,,,,,
-5.5 to -6.0,,,,,,,,,,,
-6.0 to -6.5,,,,,,,,,,,
-6.5 to -7.0,,,,,,,,,,,
-7.0 to -7.5,,,,,,,,,,,
-7.5 to -8.0,,,,,,,,,,,
-8.0 to -8.5,,,,,,,,,,,
-8.5 to -9.0,,,,,,,,,,,
-9.0 to -9.5,,,,,,,,,,,
-9.5 to -10.0,,,,,,,,,,,
-10.0 to -10.5,10 U,,,,,,,,,,
,10 U,,,,,,,,,,
