,S2140,S2143,S2180,S2210,S2212,S2221,S2222,S2223,S2661,S2662,S2663,S2665,S2669,S2670,S2671,S2672,S2673,S2980,S2987,S2988,S2989,S2991,S2992,S2993,S2995,S2996,S2998,S4408,S4409,S4410,S4411,S4412,S4413,S4414,S4455,S4502,S4505,S4519,S4534
13.0 to 12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.5 to 12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0 to 11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5 to 11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0 to 10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.5 to 10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0 to 9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.5 to 9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0 to 8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.5 to 8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0 to 7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,393000 ,731 ,,519000 ,,,,,,,,
7.5 to 7.0,,,,,,,,,536000 ,,,,,,,,,93500 ,,,,,,,,,,393000 ,731 ,,519000 ,,,,,,,,
7.0 to 6.5,,,,,,,,,536000 ,,,,5010 ,2900 ,13700 ,,,93500 ,,,3600 ,6400 ,,51000 ,,,,,,5010 ,,,,,,,,,
6.5 to 6.0,,,,,,,,,,52600 ,147000 ,,5010 ,2900 ,16400 ,,6460 ,,,3150 ,3600 ,6400 ,,51000 ,,15400 ,11700 ,,,5010 ,,,,,,,,,
