,S2140,S2141,S2142,S2143,S2180,S2210,S2212,S2670,S2987,S2988,S2996,S4410,S4412,S4413,S4455,S4519,S4520,S4759,S4760,S4761,S4786,SB-0040
13.0 to 12.5,,,,,,,,,,,,,,,,,,,,,,
12.5 to 12.0,,,,,,,,,,,,,,,,,,,,,,
12.0 to 11.5,,,,,,,,,,,,,,,,,,,,,,
11.5 to 11.0,,,,,,,,,,,,,,,,,,,,,,
11.0 to 10.5,,,,,,,,,,,,,,,,,,,,,,
10.5 to 10.0,,,,,,,,,,,,,,,,,,,,,,
10.0 to 9.5,,,,,,,,,,,,,,,,,,,,,,
9.5 to 9.0,,,,,,,,,,,,,,,,,,,,,,
9.0 to 8.5,,,,,,,,,,,,,,,,,,,,,,
8.5 to 8.0,,,,,,,,,,,,,,,,,,,,,,
8.0 to 7.5,,,,,,,,,,,,,,,,,,,,,,
7.5 to 7.0,,,,,,,,,,,,,,,,,,,,,,
7.0 to 6.5,,,,,,,,,,,,,,,,,0.36 U,,,,,
6.5 to 6.0,,,,,,,,,,0.43 U,0.22 U,,,,,,0.36 U,0.23 U,,,0.037 U,
6.0 to 5.5,,,,,0.078 U,,,,,0.43 U,0.22 U,,,,,,0.4 U,0.23 U,0.2 U,0.04 U,0.037 U,
5.5 to 5.0,,,,,0.078 U,0.38 U,,0.045 U,0.48 U,,,,,,0.46 U,0.41 U,0.4 U,,0.2 U,0.04 U,,
5.0 to 4.5,,,,,,0.38 U,,0.045 U,0.48 U,,,,0.22 R,,0.46 U,0.41 U,,,,,,
4.5 to 4.0,,,,,,,0.86 U,,,0.39 U,,,0.22 R,,,,,,,,,
4.0 to 3.5,,,,0.87 U,,,0.86 U,,,0.39 U,,,,0.094 R,,0.41 U,0.41 U,,,,,6.26 
3.5 to 3.0,,,0.88 U,0.87 U,,,,,,,,,,0.094 R,,0.41 U,0.41 U,,,,,6.26 
3.0 to 2.5,,0.083 U,0.88 U,,,,,,,,,,,0.043 U,,,,,,,,6.26 
2.5 to 2.0,,0.083 U,,,,,,,,,,,,0.043 U,,,,,,,,6.26 
2.0 to 1.5,,,,,,,,,,,,,,,,0.92 U,,,,,,6.26 
1.5 to 1.0,,,,,,,,,,,,,,,,0.92 U,,,0.067 U,0.75 UJ,,
1.0 to 0.5,,,,,,,,,,,,0.043 U,,,,,,,0.067 U,0.75 UJ,,
0.5 to 0.0,0.94 U,0.076 U,,,,,,,,,,0.043 U,,,,,,0.096 U,,,0.13 UJ,
0.0 to -0.5,0.94 U,0.076 U,,,,,,,,,,,,,,,,0.096 U,,0.039 U,0.13 UJ,
-0.5 to -1.0,,,,0.38 U,,,,,,,,,,,,,,,0.04 U,0.039 U,,
-1.0 to -1.5,,,,0.38 U,,,,,,,,,,,,,,0.039 U,0.04 U,,,
-1.5 to -2.0,,,0.091 U,,,,,,,,,,,,,,,0.039 U,,,,
-2.0 to -2.5,,,0.091 U,,,,,,,,,,,,,,,,,,,
-2.5 to -3.0,,,,,,,,,,,,,,,,,,,,,,
-3.0 to -3.5,,,,,,,,,,,,,,,,,,,,,,
-3.5 to -4.0,,,,,,,,,,,,,,,,,,,,,,
-4.0 to -4.5,,,,,,,,,,,,,,,,,,,,,,
-4.5 to -5.0,,,,,,,,,,,,,,,,,,,,,,
-5.0 to -5.5,,,,,,,,,,,,,,,,,,,,,,
-5.5 to -6.0,,,,,,,,,,,,,,,,,,,,,,
-6.0 to -6.5,,,,,,,,,,,,,,,,,,,,,,
-6.5 to -7.0,,,,,,,,,,,,,,,,,,,,,,
-7.0 to -7.5,,,,,,,,,,,,,,,,,,,,,,
-7.5 to -8.0,,,,,,,,,,,,,,,,,,,,,,
-8.0 to -8.5,,,,,,,,,,,,,,,,,,,,,,
-8.5 to -9.0,,,,,,,,,,,,,,,,,,,,,,
-9.0 to -9.5,,,,,,,,,,,,,,,,,,,,,,
-9.5 to -10.0,,,,,,,,,,,,,,,,,,,,,,
-10.0 to -10.5,0.08 U,,,,,,,,,,,,,,,,,,,,,
,0.08 U,,,,,,,,,,,,,,,,,,,,,
